symbol,name,series
BCLIND.NS,Bcl Industries Limited,EQ
BCONCEPTS.NS,Brand Concepts Limited,EQ
BCPL.NS,BCPL Railway Infrastructure Limited,EQ
BDL.NS,Bharat Dynamics Limited,EQ
BEARDSELL.NS,Beardsell Limited,EQ
BECTORFOOD.NS,Mrs. Bectors Food Specialities Limited,EQ
BEDMUTHA.NS,Bedmutha Industries Limited,EQ
BEEKAY.NS,Beekay Steel Industries Limited,EQ
BEL.NS,Bharat Electronics Limited,EQ
BELLACASA.NS,Bella Casa Fashion & Retail Limited,EQ
BELRISE.NS,Belrise Industries Limited,EQ
BEML.NS,BEML Limited,EQ
BENGALASM.NS,Bengal & Assam Company Limited,EQ
BEPL.NS,Bhansali Engineering Polymers Limited,EQ
BERGEPAINT.NS,Berger Paints (I) Limited,EQ
BESTAGRO.NS,Best Agrolife Limited,EQ
BETA.NS,Beta Drugs Limited,EQ
BFINVEST.NS,BF Investment Limited,EQ
BFUTILITIE.NS,BF Utilities Limited,EQ
BGRENERGY.NS,BGR Energy Systems Limited,BE
BHAGCHEM.NS,Bhagiradha Chemicals & Industries Limited,EQ
BHAGERIA.NS,Bhageria Industries Limited,BE
BHAGYANGR.NS,Bhagyanagar India Limited,BE
BHANDARI.NS,Bhandari Hosiery Exports Limited,BE
BHARATCOAL.NS,Bharat Coking Coal Limited,EQ
BHARATFORG.NS,Bharat Forge Limited,EQ
BHARATGEAR.NS,Bharat Gears Limited,BE
BHARATRAS.NS,Bharat Rasayan Limited,EQ
BHARATSE.NS,Bharat Seats Limited,EQ
BHARATWIRE.NS,Bharat Wire Ropes Limited,EQ
BHARTIARTL.NS,Bharti Airtel Limited,EQ
BHARTIHEXA.NS,Bharti Hexacom Limited,EQ
BHEL.NS,Bharat Heavy Electricals Limited,EQ
BI.NS,Bilcare Limited,EQ
BIGBLOC.NS,Bigbloc Construction Limited,EQ
BIKAJI.NS,Bikaji Foods International Limited,EQ
BIL.NS,Bhartiya International Limited,EQ
BILVYAPAR.NS,BIL VYAPAR LIMITED,BE
BIMETAL.NS,Bimetal Bearings Limited,EQ
BIOCON.NS,Biocon Limited,EQ
BIOFILCHEM.NS,Biofil Chemicals & Pharmaceuticals Limited,EQ
BIRLACABLE.NS,Birla Cable Limited,BE
BIRLACORPN.NS,Birla Corporation Limited,EQ
BIRLAMONEY.NS,Aditya Birla Money Limited,EQ
BIRLANU.NS,BirlaNu Limited,EQ
BIRLAPREC.NS,Birla Precision Technologies Limited,EQ
BLACKBUCK.NS,BLACKBUCK LIMITED,EQ
BLACKROSE.NS,Black Rose Inds. Limited,BE
BLAL.NS,BEML Land Assets Limited,EQ
BLBLIMITED.NS,BLB Limited,EQ
BLIL.NS,Balmer Lawrie Investments Limited,EQ
BLISSGVS.NS,Bliss GVS Pharma Limited,BE
BLKASHYAP.NS,B. L. Kashyap and Sons Limited,EQ
BLS.NS,BLS International Services Limited,EQ
BLSE.NS,BLS E-Services Limited,EQ
BLUECOAST.NS,Blue Coast Hotels Limited,BE
BLUEDART.NS,Blue Dart Express Limited,EQ
BLUEJET.NS,Blue Jet Healthcare Limited,EQ
BLUESTARCO.NS,Blue Star Limited,EQ
BLUESTONE.NS,BlueStone Jewellery and Lifestyle Limited,EQ
BLUSPRING.NS,Bluspring Enterprises Limited,EQ
BMWVENTLTD.NS,BMW Ventures Limited,EQ
BNAGROCHEM.NS,BN Agrochem Limited,BE
BNALTD.NS,B & A Limited,EQ
BODALCHEM.NS,Bodal Chemicals Limited,BE
BOHRAIND.NS,Bohra Industries Limited,EQ
BOMDYEING.NS,Bombay Dyeing & Mfg Company Limited,EQ
BONLON.NS,Bonlon Industries Limited,EQ
BORANA.NS,Borana Weaves Limited,EQ
BOROLTD.NS,Borosil Limited,EQ
BORORENEW.NS,BOROSIL RENEWABLES LIMITED,EQ
BOROSCI.NS,Borosil Scientific Limited,EQ
BOSCH-HCIL.NS,BOSCH HOME COMFORT INDIA LIMITED,EQ
BOSCHLTD.NS,Bosch Limited,EQ
BPCL.NS,Bharat Petroleum Corporation Limited,EQ
BPL.NS,BPL Limited,EQ
BRIGADE.NS,Brigade Enterprises Limited,EQ
BRIGHOTEL.NS,Brigade Hotel Ventures Limited,EQ
BRITANNIA.NS,Britannia Industries Limited,EQ
BRNL.NS,Bharat Road Network Limited,EQ
BROOKS.NS,Brooks Laboratories Limited,BE
BSE.NS,BSE Limited,EQ
BSHSL.NS,Bombay Super Hybrid Seeds Limited,BE
BSL.NS,BSL Limited,EQ
BSOFT.NS,BIRLASOFT LIMITED,EQ
BTML.NS,Bodhi Tree Multimedia Limited,EQ
BTTL.NS,Bhilwara Technical Textiles Limited,BE
BUILDPRO.NS,Shankara Buildpro Limited,EQ
BUTTERFLY.NS,Butterfly Gandhimathi Appliances Limited,EQ
BVCL.NS,Barak Valley Cements Limited,EQ
BYKE.NS,The Byke Hospitality Ltd,BE
CALSOFT.NS,California Software Company Limited,BE
CAMLINFINE.NS,Camlin Fine Sciences Limited,EQ
CAMPUS.NS,Campus Activewear Limited,EQ
CAMS.NS,Computer Age Management Services Limited,EQ
CANBK.NS,Canara Bank,EQ
CANFINHOME.NS,Can Fin Homes Limited,EQ
CANHLIFE.NS,Canara HSBC Life Insurance Company Limited,EQ
CANTABIL.NS,Cantabil Retail India Limited,EQ
CAPACITE.NS,Capacit'e Infraprojects Limited,EQ
CAPILLARY.NS,Capillary Technologies India Limited,EQ
CAPITALSFB.NS,Capital Small Finance Bank Limited,EQ
CAPLIPOINT.NS,Caplin Point Laboratories Limited,EQ
CAPTRUST.NS,Capital Trust Limited,BE
CARBORUNIV.NS,Carborundum Universal Limited,EQ
CARERATING.NS,CARE Ratings Limited,EQ
CARRARO.NS,Carraro India Limited,EQ
CARTRADE.NS,Cartrade Tech Limited,EQ
CARYSIL.NS,CARYSIL LIMITED,EQ
CASTROLIND.NS,Castrol India Limited,EQ
CCAVENUE.NS,AvenuesAI Limited,EQ
CCCL.NS,Consolidated Construction Consortium Limited,EQ
CCHHL.NS,Country Club Hospitality & Holidays Limited,EQ
CCL.NS,CCL Products (India) Limited,EQ
CDSL.NS,Central Depository Services (India) Limited,EQ
CEATLTD.NS,CEAT Limited,EQ
CEIGALL.NS,Ceigall India Limited,EQ
CEINSYS.NS,Ceinsys Tech Limited,EQ
CELEBRITY.NS,Celebrity Fashions Limited,EQ
CELLO.NS,Cello World Limited,EQ
CEMPRO.NS,Cemindia Projects Limited,EQ
CENTENKA.NS,Century Enka Limited,EQ
CENTEXT.NS,Century Extrusions Limited,EQ
CENTRALBK.NS,Central Bank of India,EQ
CENTRUM.NS,Centrum Capital Limited,EQ
CENTUM.NS,Centum Electronics Limited,EQ
CENTURYPLY.NS,Century Plyboards (India) Limited,EQ
CERA.NS,Cera Sanitaryware Limited,EQ
CEREBRAINT.NS,Cerebra Integrated Technologies Limited,BZ
CESC.NS,CESC Limited,EQ
CEWATER.NS,Concord Enviro Systems Limited,EQ
CGCL.NS,Capri Global Capital Limited,EQ
CGPOWER.NS,CG Power and Industrial Solutions Limited,EQ
CHALET.NS,Chalet Hotels Limited,EQ
CHAMBLFERT.NS,Chambal Fertilizers & Chemicals Limited,EQ
CHEMBOND.NS,Chembond Material Technologies Limited,BE
CHEMBONDCH.NS,Chembond Chemicals Limited,BE
CHEMCON.NS,Chemcon Speciality Chemicals Limited,BE
CHEMFAB.NS,Chemfab Alkalis Limited,BE
CHEMPLASTS.NS,Chemplast Sanmar Limited,EQ
CHENNPETRO.NS,Chennai Petroleum Corporation Limited,EQ
CHEVIOT.NS,Cheviot Company Limited,EQ
CHOICEIN.NS,Choice International Limited,EQ
CHOLAFIN.NS,Cholamandalam Investment and Finance Company Limited,EQ
CHOLAHLDNG.NS,Cholamandalam Financial Holdings Limited,EQ
